molecule_id,triazine_smiles,metal,cmplx_smiles
TRZ00006,Cc1nnc(-c2ccccc2O)nc1C,Cu2+,Cc1nnc(-c2ccccc2O)nc1C.[Cu+2]
TRZ00006,Cc1nnc(-c2ccccc2O)nc1C,Zn2+,Cc1nnc(-c2ccccc2O)nc1C.[Zn+2]
TRZ00006,Cc1nnc(-c2ccccc2O)nc1C,Fe2+,Cc1nnc(-c2ccccc2O)nc1C.[Fe+2]
TRZ00006,Cc1nnc(-c2ccccc2O)nc1C,Fe3+,Cc1nnc(-c2ccccc2O)nc1C.[Fe+3]
TRZ00008,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C,Cu2+,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C.[Cu+2]
TRZ00008,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C,Zn2+,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C.[Zn+2]
TRZ00008,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C,Fe2+,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C.[Fe+2]
TRZ00008,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C,Fe3+,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C.[Fe+3]
TRZ00010,COc1ccccc1-c1nnc(C)c(C)n1,Cu2+,COc1ccccc1-c1nnc(C)c(C)n1.[Cu+2]
TRZ00010,COc1ccccc1-c1nnc(C)c(C)n1,Zn2+,COc1ccccc1-c1nnc(C)c(C)n1.[Zn+2]
TRZ00010,COc1ccccc1-c1nnc(C)c(C)n1,Fe2+,COc1ccccc1-c1nnc(C)c(C)n1.[Fe+2]
TRZ00010,COc1ccccc1-c1nnc(C)c(C)n1,Fe3+,COc1ccccc1-c1nnc(C)c(C)n1.[Fe+3]
TRZ00011,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C,Cu2+,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C.[Cu+2]
TRZ00011,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C,Zn2+,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C.[Zn+2]
TRZ00011,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C,Fe2+,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C.[Fe+2]
TRZ00011,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C,Fe3+,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C.[Fe+3]
TRZ00015,Cc1nnc(-c2cc3ccccc3cc2O)nc1C,Cu2+,Cc1nnc(-c2cc3ccccc3cc2O)nc1C.[Cu+2]
TRZ00015,Cc1nnc(-c2cc3ccccc3cc2O)nc1C,Zn2+,Cc1nnc(-c2cc3ccccc3cc2O)nc1C.[Zn+2]
TRZ00015,Cc1nnc(-c2cc3ccccc3cc2O)nc1C,Fe2+,Cc1nnc(-c2cc3ccccc3cc2O)nc1C.[Fe+2]
TRZ00015,Cc1nnc(-c2cc3ccccc3cc2O)nc1C,Fe3+,Cc1nnc(-c2cc3ccccc3cc2O)nc1C.[Fe+3]
TRZ00016,Cc1nnc(-c2ccc(N)cc2O)nc1C,Cu2+,Cc1nnc(-c2ccc(N)cc2O)nc1C.[Cu+2]
TRZ00016,Cc1nnc(-c2ccc(N)cc2O)nc1C,Zn2+,Cc1nnc(-c2ccc(N)cc2O)nc1C.[Zn+2]
TRZ00016,Cc1nnc(-c2ccc(N)cc2O)nc1C,Fe2+,Cc1nnc(-c2ccc(N)cc2O)nc1C.[Fe+2]
TRZ00016,Cc1nnc(-c2ccc(N)cc2O)nc1C,Fe3+,Cc1nnc(-c2ccc(N)cc2O)nc1C.[Fe+3]
TRZ00017,Cc1nnc(-c2cccnc2)nc1C,Cu2+,Cc1nnc(-c2cccnc2)nc1C.[Cu+2]
TRZ00017,Cc1nnc(-c2cccnc2)nc1C,Zn2+,Cc1nnc(-c2cccnc2)nc1C.[Zn+2]
TRZ00017,Cc1nnc(-c2cccnc2)nc1C,Fe2+,Cc1nnc(-c2cccnc2)nc1C.[Fe+2]
