epoch,step,train_loss_epoch,train_loss_step,val/mae,val/r2,val/rmse,val_loss
0,49,,1.3384943008422852,,,,
0,99,,0.6107749342918396,,,,
0,149,,0.7232664823532104,,,,
0,199,,0.8333714008331299,,,,
0,244,,,0.5858673453330994,0.36318403482437134,0.8203832507133484,0.6730287075042725
0,244,0.7656155824661255,,,,,
1,249,,0.9695146083831787,,,,
1,299,,0.4142206907272339,,,,
1,349,,0.5393022298812866,,,,
1,399,,0.5609275698661804,,,,
1,449,,0.37831008434295654,,,,
1,489,,,0.44919806718826294,0.540539562702179,0.696841299533844,0.48558780550956726
1,489,0.498447060585022,,,,,
2,499,,0.3239635229110718,,,,
2,549,,0.32677215337753296,,,,
2,599,,0.37362024188041687,,,,
2,649,,0.2623898983001709,,,,
2,699,,0.22622117400169373,,,,
2,734,,,0.3909369707107544,0.6471633911132812,0.6106559634208679,0.37290072441101074
2,734,0.3837099075317383,,,,,
3,749,,0.2523317039012909,,,,
3,799,,0.428898423910141,,,,
3,849,,0.175794780254364,,,,
3,899,,0.26958557963371277,,,,
3,949,,0.25658196210861206,,,,
3,979,,,0.36084580421447754,0.7083667516708374,0.5551729798316956,0.30821704864501953
3,979,0.3156360685825348,,,,,
4,999,,0.30262625217437744,,,,
4,1049,,0.21708011627197266,,,,
4,1099,,0.20563682913780212,,,,
4,1149,,0.44742292165756226,,,,
4,1199,,0.2191828191280365,,,,
4,1224,,,0.36546722054481506,0.7209299802780151,0.5430832505226135,0.29493939876556396
4,1224,0.2650068402290344,,,,,
5,1249,,0.18301835656166077,,,,
5,1299,,0.22219520807266235,,,,
5,1349,,0.5756208896636963,,,,
5,1399,,0.5510613322257996,,,,
5,1449,,0.22559653222560883,,,,
5,1469,,,0.34137800335884094,0.7466298341751099,0.5174728035926819,0.26777809858322144
5,1469,0.24483974277973175,,,,,
6,1499,,0.2042870968580246,,,,
6,1549,,0.25181102752685547,,,,
6,1599,,0.5364016890525818,,,,
6,1649,,0.20738938450813293,,,,
6,1699,,0.12567973136901855,,,,
6,1714,,,0.2934555113315582,0.7749819755554199,0.4876615107059479,0.23781372606754303
6,1714,0.22130928933620453,,,,,
7,1749,,0.1601182520389557,,,,
7,1799,,0.18811684846878052,,,,
7,1849,,0.17316195368766785,,,,
7,1899,,0.38437825441360474,,,,
7,1949,,0.3279857635498047,,,,
7,1959,,,0.28999051451683044,0.7881761193275452,0.47314828634262085,0.22386930882930756
7,1959,0.21242369711399078,,,,,
8,1999,,0.14698508381843567,,,,
8,2049,,0.12563399970531464,,,,
8,2099,,0.13899724185466766,,,,
8,2149,,0.15572667121887207,,,,
8,2199,,0.19388370215892792,,,,
8,2204,,,0.27757683396339417,0.7953813076019287,0.4650316536426544,0.21625444293022156
8,2204,0.20178011059761047,,,,,
9,2249,,0.16221840679645538,,,,
9,2299,,0.1415397673845291,,,,
9,2349,,0.14066462218761444,,,,
9,2399,,0.18405161798000336,,,,
9,2449,,0.05891242250800133,,,,
9,2449,,,0.2709035277366638,0.8018630146980286,0.4576069414615631,0.2094041258096695
9,2449,0.19428370893001556,,,,,
10,2499,,0.2836000323295593,,,,
10,2549,,0.17699745297431946,,,,
10,2599,,0.20273827016353607,,,,
10,2649,,0.1400928795337677,,,,
10,2694,,,0.2675744593143463,0.8037668466567993,0.4554031193256378,0.20739199221134186
10,2694,0.18650539219379425,,,,,
11,2699,,0.16648781299591064,,,,
11,2749,,0.14852643013000488,,,,
11,2799,,0.15264275670051575,,,,
11,2849,,0.1429922878742218,,,,
11,2899,,0.12968438863754272,,,,
11,2939,,,0.2631879150867462,0.8078423738479614,0.4506492018699646,0.20308469235897064
11,2939,0.17992524802684784,,,,,
12,2949,,0.20742526650428772,,,,
12,2999,,0.137783482670784,,,,
12,3049,,0.15789520740509033,,,,
12,3099,,0.3615470826625824,,,,
12,3149,,0.19031132757663727,,,,
12,3184,,,0.26389753818511963,0.8110170364379883,0.446911096572876,0.1997295320034027
12,3184,0.17602980136871338,,,,,
13,3199,,0.147584930062294,,,,
13,3249,,0.1071208119392395,,,,
13,3299,,0.1443481147289276,,,,
13,3349,,0.24346473813056946,,,,
13,3399,,0.19965225458145142,,,,
13,3429,,,0.2563573718070984,0.8160486221313477,0.4409216046333313,0.19441187381744385
13,3429,0.170767143368721,,,,,
14,3449,,0.09371162950992584,,,,
14,3499,,0.19023272395133972,,,,
14,3549,,0.31086432933807373,,,,
14,3599,,0.29719412326812744,,,,
14,3649,,0.08767351508140564,,,,
14,3674,,,0.250972718000412,0.8203397393226624,0.435748428106308,0.1898767054080963
14,3674,0.16509662568569183,,,,,
15,3699,,0.0904073715209961,,,,
15,3749,,0.16677632927894592,,,,
15,3799,,0.1394505798816681,,,,
15,3849,,0.13753759860992432,,,,
15,3899,,0.11282806098461151,,,,
15,3919,,,0.25290757417678833,0.8170624375343323,0.43970489501953125,0.19334039092063904
15,3919,0.16121356189250946,,,,,
16,3949,,0.0854317843914032,,,,
16,3999,,0.12325939536094666,,,,
16,4049,,0.1538936197757721,,,,
16,4099,,0.14587020874023438,,,,
16,4149,,0.09988943487405777,,,,
16,4164,,,0.255062460899353,0.817733108997345,0.43889811635017395,0.1926315575838089
16,4164,0.15941964089870453,,,,,
17,4199,,0.15621601045131683,,,,
17,4249,,0.16557836532592773,,,,
17,4299,,0.15013785660266876,,,,
17,4349,,0.3594222068786621,,,,
17,4399,,0.12284515053033829,,,,
17,4409,,,0.24368338286876678,0.8285757303237915,0.4256434738636017,0.18117237091064453
17,4409,0.15526987612247467,,,,,
18,4449,,0.1828031837940216,,,,
18,4499,,0.11112426221370697,,,,
18,4549,,0.13505978882312775,,,,
18,4599,,0.10558773577213287,,,,
18,4649,,0.10477479547262192,,,,
18,4654,,,0.24073554575443268,0.8272108435630798,0.42733460664749146,0.18261489272117615
