cmplx_smiles_neutral_std,Exp LgK1
O=S(=O)(O)CC(O)CN(CCO)CCO.[H+],7.48
O=C(O)[C@H](O)[C@@H](O)C(=O)O.[Ca+2],1.6
NC(CCC(=O)O)C(=O)O.[Cd+2],3.9
Oc1ccccc1O.[Co+2],8.61
C1CCNCCNCCNCCNC1.[H+],10.57
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCN=C(N)N)C(N)=O.[Cu+2],7.73
CCCCC(N)C(=O)O.[Ni+2],5.27
[F-].[In+3],3.7
O=C(O)C1NCCNC1C(=O)O.[H+],10.25
O=C(O)CN(CC(=O)O)CC(c1ccccc1)N(CC(=O)O)CC(=O)O.[Tb+3],17.96
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O.[Hg+2],26.08
O=C(O)CNCC(=O)O.[Ni+2],8.21
CC(C)C(N)C(=O)O.[H+],9.7
N[C@@H](CC(Cc1ccccc1)C(=O)O)C(=O)O.[H+],9
CCc1cc([N+](=O)[O-])cc(CP(=O)(O)O)c1O.[Th+4],10.61
NC(CS)C(=O)O.[Be+2],12.5
NCCc1cccc(O)c1.[H+],10.58
Cc1ccc2ccc3ccc(C)nc3c2n1.[Cd+2],2.8
NCCN(CCN)Cc1ccc(CN(CCN)CCN)cc1.[Zn+2],10.05
O=P(O)(O)CP(=O)(O)O.[Na+],1.13
[Cl-].[Ba+2],-0.44
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O.[Ga+3],17.2
CCC(C)C(N)C(=O)NO.[Ni+2],6.9
S=c1[nH]cc[nH]1.[Zn+2],6.61
O=C(O)c1ccccc1.[H+],4.2
O=C(O)COc1ccccc1.[Th+4],3.8
Cc1ccc(O)c(N=Nc2c(O)cc(S(=O)(=O)O)c3ccccc23)c1.[Y+3],15.7
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOC(=O)C1.[Tm+3],6.53
NCCNCCNCCN.[Cr+3],8
O=C(O)CN(CCO)CC(=O)O.[Ni+2],9.54
NC(CCC(=O)O)C(=O)O.[Ni+2],4.9
CC(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)O.[Ni+2],3.06
Oc1cccc(O)c1O.[V+3],18.1
O=C(O)C(=O)O.[H+],4
O=C(O)c1ccccn1.[Ce+3],3.31
O=C(O)CCc1ccccc1.[Cu+2],1.87
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O.[Mg+2],12.41
CCCC(CCC)(C(=O)O)C(=O)O.[Tm+3],4.76
Cc1cncc(C)c1.[Zn+2],1.25
CSCCC(N)C(=O)O.[H+],9.04
O=C(O)CCCC(=O)O.[H+],4.89
N#CCN(CC(=O)O)CC(=O)O.[Ba+2],1.98
NC(COP(=O)(O)O)C(=O)O.[H+],9.85
O=S(=O)([O-])[O-].[La+3],1.4
CN(C)CP(=O)(O)O.[Ni+2],5.07
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O.[H+],10.52
O=C(O)c1ccccn1.[Nd+3],4.83
O=C(O)CC(C(=O)O)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1.[H+],10.99
O=C(O)CN(CCO)CCO.[Co+2],5.08
COc1cccc(C(=O)O)c1.[Sm+3],2.24
CCCCC(N)C(=O)O.[H+],9.68
O=[N+]([O-])c1ccc(O)c(O)c1.[Zn+2],8.2
[I-].[Cd+2],2.78
CN[C@@H](Cc1cnc[nH]1)C(=O)NC(=O)CNC(=O)CN.[H+],8
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[H+],6.91
C1COCCN2CCOCCOCCN(CCO1)CCOCC2.[Co+2],5.4
O=C(O)C(S)C(S)C(=O)O.[H+],11.5
CC(C)C(=O)N[C@@H](CCCCN)C(=O)O.[Cu+2],8
CC(C)(O)C(=O)O.[Ca+2],0.92
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]1O.[Mg+2],1.89
O=C(O)C(S)C(S)C(=O)O.[Zn+2],14.42
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O.[Cm+3],21.1
NC(CO)C(=O)O.[Ni+2],5.42
NCC(=O)O.[Cu+2],8.15
CC(N)C(=O)O.[Zn+2],4.51
O=[N+]([O-])[O-].[Ho+3],-0.14
CN1CCCN(CCO)CCN(CCO)CCCN(C)CC1.[Cd+2],9.5
O=C(O)CNCC(=O)O.[H+],9.293
O=C(O)CC1CCCCC1.[Cu+2],2.95
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Fe+2],14.33
c1ccc(CNCCNCc2ccccn2)nc1.[Co+2],12.51
O=C(O)C(O)C(O)C(=O)O.[H+],3.92
O=S(=O)(O)c1ccc2cc(O)c(O)cc2c1.[Ca+2],5.21
O=C(O)CCc1ccccc1.[H+],4.45
O=Nc1cc(S(=O)(=O)O)c2ccccc2c1O.[Ni+2],6.99
O=C(O)C(O)C(=O)O.[H+],4.35
COc1cccc(NCC(=O)O)c1.[Ni+2],2.98
O=C(O)CN(CC(=O)O)C[C@@H](C(=O)O)N(CC(=O)O)CC(=O)O.[Ni+2],13.15
NCCC(N)(CCN)c1ccccc1O.[Cd+2],11.16
CN(C)CCN(Cc1ccccc1)c1ccccn1.[Ni+2],3.76
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[U+4],25.8
NCCCNCCNCCCN.[H+],10.67
NCC(O)c1ccc(O)c(O)c1.[Cu+2],14.75
NCC(=O)NCC(=O)O.[Cu+2],5.49
O=C(O)c1ccccc1.[H+],4.013
