molecule_id,triazine_smiles,metal,cmplx_smiles
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,Cu2+,COc1ccccc1OCc1nnc(C)c(C)n1.[Cu+2]
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,Zn2+,COc1ccccc1OCc1nnc(C)c(C)n1.[Zn+2]
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,Fe2+,COc1ccccc1OCc1nnc(C)c(C)n1.[Fe+2]
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,Fe3+,COc1ccccc1OCc1nnc(C)c(C)n1.[Fe+3]
TRZ00288,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C,Cu2+,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C.[Cu+2]
TRZ00288,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C,Zn2+,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C.[Zn+2]
TRZ00288,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C,Fe2+,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C.[Fe+2]
TRZ00288,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C,Fe3+,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C.[Fe+3]
TRZ00289,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C,Cu2+,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C.[Cu+2]
TRZ00289,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C,Zn2+,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C.[Zn+2]
TRZ00289,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C,Fe2+,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C.[Fe+2]
TRZ00289,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C,Fe3+,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C.[Fe+3]
TRZ00326,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C,Cu2+,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C.[Cu+2]
TRZ00326,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C,Zn2+,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C.[Zn+2]
TRZ00326,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C,Fe2+,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C.[Fe+2]
TRZ00326,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C,Fe3+,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C.[Fe+3]
TRZ00367,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1,Cu2+,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1.[Cu+2]
TRZ00367,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1,Zn2+,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1.[Zn+2]
TRZ00367,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1,Fe2+,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1.[Fe+2]
TRZ00367,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1,Fe3+,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1.[Fe+3]
TRZ00368,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1,Cu2+,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1.[Cu+2]
TRZ00368,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1,Zn2+,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1.[Zn+2]
TRZ00368,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1,Fe2+,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1.[Fe+2]
TRZ00368,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1,Fe3+,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1.[Fe+3]
TRZ00467,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C,Cu2+,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C.[Cu+2]
TRZ00467,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C,Zn2+,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C.[Zn+2]
TRZ00467,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C,Fe2+,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C.[Fe+2]
TRZ00467,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C,Fe3+,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C.[Fe+3]
TRZ00478,Cc1nnc(CSc2cccc3cccnc23)nc1C,Cu2+,Cc1nnc(CSc2cccc3cccnc23)nc1C.[Cu+2]
TRZ00478,Cc1nnc(CSc2cccc3cccnc23)nc1C,Zn2+,Cc1nnc(CSc2cccc3cccnc23)nc1C.[Zn+2]
TRZ00478,Cc1nnc(CSc2cccc3cccnc23)nc1C,Fe2+,Cc1nnc(CSc2cccc3cccnc23)nc1C.[Fe+2]
TRZ00478,Cc1nnc(CSc2cccc3cccnc23)nc1C,Fe3+,Cc1nnc(CSc2cccc3cccnc23)nc1C.[Fe+3]
TRZ00658,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C,Cu2+,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C.[Cu+2]
TRZ00658,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C,Zn2+,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C.[Zn+2]
TRZ00658,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C,Fe2+,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C.[Fe+2]
TRZ00658,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C,Fe3+,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C.[Fe+3]
TRZ00672,Cc1nnc(COc2cccc3cccnc23)nc1C,Cu2+,Cc1nnc(COc2cccc3cccnc23)nc1C.[Cu+2]
TRZ00672,Cc1nnc(COc2cccc3cccnc23)nc1C,Zn2+,Cc1nnc(COc2cccc3cccnc23)nc1C.[Zn+2]
TRZ00672,Cc1nnc(COc2cccc3cccnc23)nc1C,Fe2+,Cc1nnc(COc2cccc3cccnc23)nc1C.[Fe+2]
TRZ00672,Cc1nnc(COc2cccc3cccnc23)nc1C,Fe3+,Cc1nnc(COc2cccc3cccnc23)nc1C.[Fe+3]
TRZ00818,Cc1nnc(CNC(=O)c2cccs2)nc1C,Cu2+,Cc1nnc(CNC(=O)c2cccs2)nc1C.[Cu+2]
TRZ00818,Cc1nnc(CNC(=O)c2cccs2)nc1C,Zn2+,Cc1nnc(CNC(=O)c2cccs2)nc1C.[Zn+2]
TRZ00818,Cc1nnc(CNC(=O)c2cccs2)nc1C,Fe2+,Cc1nnc(CNC(=O)c2cccs2)nc1C.[Fe+2]
TRZ00818,Cc1nnc(CNC(=O)c2cccs2)nc1C,Fe3+,Cc1nnc(CNC(=O)c2cccs2)nc1C.[Fe+3]
TRZ00856,COc1ccccc1SCc1nnc(C)c(C)n1,Cu2+,COc1ccccc1SCc1nnc(C)c(C)n1.[Cu+2]
TRZ00856,COc1ccccc1SCc1nnc(C)c(C)n1,Zn2+,COc1ccccc1SCc1nnc(C)c(C)n1.[Zn+2]
TRZ00856,COc1ccccc1SCc1nnc(C)c(C)n1,Fe2+,COc1ccccc1SCc1nnc(C)c(C)n1.[Fe+2]
TRZ00856,COc1ccccc1SCc1nnc(C)c(C)n1,Fe3+,COc1ccccc1SCc1nnc(C)c(C)n1.[Fe+3]
TRZ00857,Cc1nnc(CSc2ccccc2O)nc1C,Cu2+,Cc1nnc(CSc2ccccc2O)nc1C.[Cu+2]
TRZ00857,Cc1nnc(CSc2ccccc2O)nc1C,Zn2+,Cc1nnc(CSc2ccccc2O)nc1C.[Zn+2]
TRZ00857,Cc1nnc(CSc2ccccc2O)nc1C,Fe2+,Cc1nnc(CSc2ccccc2O)nc1C.[Fe+2]
TRZ00857,Cc1nnc(CSc2ccccc2O)nc1C,Fe3+,Cc1nnc(CSc2ccccc2O)nc1C.[Fe+3]
TRZ00868,Cc1nnc(CNC(=O)COc2ccccc2)nc1C,Cu2+,Cc1nnc(CNC(=O)COc2ccccc2)nc1C.[Cu+2]
TRZ00868,Cc1nnc(CNC(=O)COc2ccccc2)nc1C,Zn2+,Cc1nnc(CNC(=O)COc2ccccc2)nc1C.[Zn+2]
TRZ00868,Cc1nnc(CNC(=O)COc2ccccc2)nc1C,Fe2+,Cc1nnc(CNC(=O)COc2ccccc2)nc1C.[Fe+2]
TRZ00868,Cc1nnc(CNC(=O)COc2ccccc2)nc1C,Fe3+,Cc1nnc(CNC(=O)COc2ccccc2)nc1C.[Fe+3]
TRZ00913,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C,Cu2+,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C.[Cu+2]
