Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Donor_pos,has_donor_pos1,has_donor_pos2,has_donor_pos3,has_pos2_bridged,has_pos3_bridged,has_pos2_notbridged,has_pos3_notbridged,pos2_inring,pos2_notinring,pos3_inring,pos3_notinring,ring_status,total_rings,extra_donors,has_plain_phenyl,tridentate,max_similarity,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,245.28,2.08,57.13,0,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546880>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.3584905660377358,,
TRZ00288,Cc1nnc(CSCc2nc(-c3ccc(Cl)cc3)cs2)nc1C,362.91,4.7,51.56,0,6,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A540900>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,3.0,False,True,0.39655172413793105,,
TRZ00289,Cc1nnc(CSCc2nc(-c3ccccc3)cs2)nc1C,328.47,4.05,51.56,0,6,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A540970>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,3.0,False,True,0.35185185185185186,,
TRZ00326,Cc1nnc(COc2ccccc2[N+](=O)[O-])nc1C,260.25,1.98,91.04,0,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5418C0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,3.0,False,True,0.46551724137931033,,
TRZ00367,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)(C)c1nnc(C)c(C)n1,444.54,4.83,86.15,0,8,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A542420>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,4.0,5.0,False,True,0.2564102564102564,,
TRZ00368,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C)c1nnc(C)c(C)n1,430.51,4.66,86.15,0,8,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A542490>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,4.0,5.0,False,True,0.225,,
TRZ00467,Cc1nnc(CSc2ccccc2[N+](=O)[O-])nc1C,276.32,2.69,81.81,0,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5830D0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,3.0,False,True,0.328125,,
TRZ00478,Cc1nnc(CSc2cccc3cccnc23)nc1C,282.37,3.33,51.56,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A582C00>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,2.0,False,True,0.26229508196721313,,
TRZ00658,Cc1nnc(CSc2c(-c3cccs3)[nH]c3ccccc23)nc1C,352.49,4.99,54.46,1,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5197E0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,4.0,2.0,False,True,0.3620689655172414,,
TRZ00672,Cc1nnc(COc2cccc3cccnc23)nc1C,266.3,2.62,60.79,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A519D20>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,2.0,False,True,0.3103448275862069,,
