Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Donor_pos,has_donor_pos1,has_donor_pos2,has_donor_pos3,has_pos2_bridged,has_pos3_bridged,has_pos2_notbridged,has_pos3_notbridged,pos2_inring,pos2_notinring,pos3_inring,pos3_notinring,ring_status,total_rings
TRZ00112,Cc1nnc(-c2ccc(COc3ccc4ccccc4c3)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD59F060>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,4
TRZ00117,Cc1nnc(-c2ccc(COc3ccc([N+](=O)[O-])cc3)o2)nc1C,326.31,3.24,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD59F290>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3
TRZ00375,Cc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c([N+](=O)[O-])c1,340.34,3.54,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD5A5AF0>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3
TRZ01544,Cc1nnc(-c2ccc(CSc3ccc(C(F)(F)F)cn3)o2)nc1C,366.37,4.45,64.7,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD7BEAB0>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3
TRZ02396,Cc1nc(-c2noc(-c3nnc(C)c(C)n3)n2)cs1,274.31,1.97,90.48,0,8,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD7D3F40>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3
TRZ00399,Cc1nnc(-c2sc(-c3cccs3)nc2C)nc1C,288.4,3.65,51.56,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD5A6490>,both_notbridged,False,True,True,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3
TRZ00628,Cc1nnc(-c2csc(-c3ncc(C(F)(F)F)cc3Cl)n2)nc1C,371.78,4.35,64.45,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD7AFE60>,both_notbridged,False,True,True,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3
TRZ01080,Cc1nnc(-c2csc(COc3cc(Cl)cc(Cl)c3)n2)nc1C,367.26,4.5,60.79,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD7B2DC0>,both_notbridged,False,True,True,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3
TRZ02390,Cc1nnc(-c2sc(COc3ccc(C(C)(C)C)cc3)nc2C)nc1C,368.51,4.8,60.79,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD7D3CA0>,both_notbridged,False,True,True,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3
TRZ02392,Cc1nnc(-c2csc(-c3cccs3)n2)nc1C,274.37,3.34,51.56,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD7D3D80>,both_notbridged,False,True,True,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3
TRZ05498,COc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(OC(F)(F)F)c1,377.33,3.52,82.91,0,7,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD818510>,both_notbridged,False,True,True,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3
TRZ05734,Cc1nnc(-c2cncc(-c3ccc(OC(F)F)[nH]c3=O)n2)nc1C,346.3,1.9,106.54,1,7,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001B4DD81D620>,both_notbridged,False,True,True,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3
