Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings
TRZ00001,Cc1nnc(-c2ccncc2)nc1C,186.22,1.55,51.56,0,4,1,2,1
TRZ00002,Cc1nnc(-c2ccccc2)nc1C,185.23,2.16,38.67,0,3,1,2,1
TRZ00003,Cc1nnc(-c2ccc(N)cc2)nc1C,200.24,1.74,64.69,1,4,1,2,1
TRZ00004,Cc1nnc(-c2ccc(Br)cc2)nc1C,264.13,2.92,38.67,0,3,1,2,1
TRZ00005,COc1ccc(-c2nnc(C)c(C)n2)cc1,215.26,2.16,47.9,0,4,2,2,1
TRZ00006,Cc1nnc(-c2ccccc2O)nc1C,201.23,1.86,58.9,1,4,1,2,1
TRZ00007,Cc1nnc(-c2ccc(O)cc2)nc1C,201.23,1.86,58.9,1,4,1,2,1
TRZ00008,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C,436.31,3.64,71.34,0,5,3,3,1
TRZ00009,Cc1nnc(CP(=O)(c2ccccc2)c2ccccc2)nc1C,323.34,3.0,55.74,0,4,4,3,1
TRZ00010,COc1ccccc1-c1nnc(C)c(C)n1,215.26,2.16,47.9,0,4,2,2,1
TRZ00011,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C,230.23,2.06,81.81,0,5,2,2,1
TRZ00012,Cc1nnc(-c2cccc(-c3nnc(C)c(C)n3)c2)nc1C,292.35,2.62,77.34,0,6,2,3,2
TRZ00013,Cc1nnc(CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)nc1C,341.5,4.57,58.9,1,4,3,2,1
TRZ00014,Cc1nnc(Cc2ccccc2)nc1C,199.26,2.08,38.67,0,3,2,2,1
TRZ00015,Cc1nnc(-c2cc3ccccc3cc2O)nc1C,251.29,3.01,58.9,1,4,1,3,1
TRZ00016,Cc1nnc(-c2ccc(N)cc2O)nc1C,216.24,1.44,84.92,2,5,1,2,1
TRZ00017,Cc1nnc(-c2cccnc2)nc1C,186.22,1.55,51.56,0,4,1,2,1
TRZ00018,Cc1nnc(-c2ccc([N+](=O)[O-])cc2)nc1C,230.23,2.06,81.81,0,5,2,2,1
TRZ00019,Cc1nnc(-c2ccc(S(N)(=O)=O)cc2)nc1C,264.31,0.8,98.83,1,5,2,2,1
TRZ00020,Cc1nnc(-c2sc3ccccc3c2Cl)nc1C,275.76,4.02,38.67,0,4,1,3,1
TRZ00021,Cc1nnc(-c2sc3cccc(Cl)c3c2Cl)nc1C,310.21,4.68,38.67,0,4,1,3,1
TRZ00022,Cc1nnc(-c2ccccc2Cl)nc1C,219.67,2.81,38.67,0,3,1,2,1
TRZ00023,Cc1nnc(-c2cccc([N+](=O)[O-])c2)nc1C,230.23,2.06,81.81,0,5,2,2,1
TRZ00024,Cc1nnc(-c2ccc(Cl)cc2)nc1C,219.67,2.81,38.67,0,3,1,2,1
TRZ00025,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C,224.27,2.64,54.46,1,3,1,3,1
TRZ00026,Cc1nnc(-c2ccccc2N)nc1C,200.24,1.74,64.69,1,4,1,2,1
TRZ00027,Cc1nnc(-c2ccco2)nc1C,175.19,1.75,51.81,0,4,1,2,1
TRZ00028,Cc1nnc(Cc2c[nH]c3ccccc23)nc1C,238.29,2.56,54.46,1,3,2,3,1
TRZ00029,Cc1nnc(C(O)c2ccccc2)nc1C,215.26,1.57,58.9,1,4,2,2,1
TRZ00030,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C,291.35,2.77,58.9,1,4,3,3,1
TRZ00031,CCN(CC)c1ccc(-c2nnc(C)c(C)n2)cc1,256.35,3.0,41.91,0,4,4,2,1
