Triazine_ID,SMILES,Donor_Set,HOMO_eV,MolWt,LogP,TPSA,HBA,LUMO_eV,Gap_eV,n_triazine_rings,Cu2_Score,Rank
TRZ00686,Cc1nnc(-c2ccc3ccc4ccc(-c5nnc(C)c(C)n5)nc4c3n2)nc1C,"N,N,N,N",-9.2583,394.44,3.72,103.12,8,-8.0617,1.1966,2,90,1
TRZ00727,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)o2)nc1C,"N,O,N",-9.3726,282.31,2.22,90.48,7,-7.9422,1.4304000000000006,2,80,2
TRZ01527,Cc1nnc(-c2csc(-c3ccc(C(F)(F)F)cn3)n2)nc1C,"N,N,N",-9.5683,337.33,3.69,64.45,6,-8.5406,1.0277000000000012,1,80,3
TRZ02396,Cc1nc(-c2noc(-c3nnc(C)c(C)n3)n2)cs1,"N,N,N",-9.8441,274.31,1.97,90.48,8,-8.3611,1.4829999999999988,1,80,4
TRZ01492,Cc1nnc(-c2sc(-c3nnc(C)c(C)n3)c(C)c2C)nc1C,"N,S,N",-9.2703,326.43,3.3,77.34,7,-7.901,1.3693000000000008,2,75,5
TRZ02619,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)s2)nc1C,"N,S,N",-9.374,298.38,2.69,77.34,7,-8.0911,1.2828999999999997,2,75,6
TRZ05498,COc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(OC(F)(F)F)c1,"N,N,O",-9.5483,377.33,3.52,82.91,7,-8.0763,1.4719999999999995,1,75,7
TRZ05734,Cc1nnc(-c2cncc(-c3ccc(OC(F)F)[nH]c3=O)n2)nc1C,"N,N,O",-9.4928,346.3,1.9,106.54,7,-8.1343,1.3585000000000012,1,75,8
TRZ02392,Cc1nnc(-c2csc(-c3cccs3)n2)nc1C,"N,N,S",-9.3218,274.37,3.34,51.56,6,-7.8526,1.4691999999999998,1,70,9
TRZ00628,Cc1nnc(-c2csc(-c3ncc(C(F)(F)F)cc3Cl)n2)nc1C,"N,N,N",-9.5837,371.78,4.35,64.45,6,-8.6317,0.952,1,65,10
TRZ01194,Cc1nnc(-c2cccc(-c3nnc(C)c(C)n3)n2)nc1C,"N,N,N",-9.3031,293.33,2.02,90.23,7,-7.7276,1.5755000000000008,2,64,11
TRZ02802,Cc1nnc(-c2ccccc2Nc2ccccc2-c2nnc(C)c(C)n2)nc1C,"N,N,N",-9.1855,383.46,4.37,89.37,7,-7.5473,1.6381999999999994,2,64,12
TRZ00375,Cc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c([N+](=O)[O-])c1,"N,O,O,O",-9.3399,340.34,3.54,104.18,7,-8.4408,0.8991000000000007,1,62,13
TRZ00399,Cc1nnc(-c2sc(-c3cccs3)nc2C)nc1C,"N,S,S",-9.3649,288.4,3.65,51.56,6,-8.0481,1.3168000000000006,1,60,14
TRZ00116,COc1ccccc1OCc1ccc(-c2nnc(C)c(C)n2)o1,"N,O,O,O",-9.2732,311.34,3.34,70.27,6,-7.6372,1.6359999999999992,1,56,15
TRZ00117,Cc1nnc(-c2ccc(COc3ccc([N+](=O)[O-])cc3)o2)nc1C,"N,O,O",-9.5551,326.31,3.24,104.18,7,-8.6087,0.9463999999999988,1,55,16
TRZ00376,Cc1nnc(-c2ccc(COc3ccc(Br)cc3)o2)nc1C,"N,O,N",-9.4624,360.21,4.09,61.04,5,-7.801,1.6614000000000004,1,54,17
TRZ01080,Cc1nnc(-c2csc(COc3cc(Cl)cc(Cl)c3)n2)nc1C,"N,N,O",-9.4783,367.26,4.5,60.79,6,-7.8259,1.652400000000001,1,54,18
TRZ02000,Cc1nnc(-c2csc(COc3ccccc3Cl)n2)nc1C,"N,N,O",-9.3705,332.82,3.84,60.79,6,-7.7146,1.6559,1,54,19
TRZ00112,Cc1nnc(-c2ccc(COc3ccc4ccccc4c3)o2)nc1C,"N,O,O",-9.3357,331.38,4.48,61.04,5,-7.6995,1.6361999999999997,1,49,20
TRZ00111,Cc1cc(C)cc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,"N,O,O",-9.3148,309.37,3.94,61.04,5,-7.6514,1.6634000000000002,1,49,21
TRZ00127,CCOc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1,"N,O,O",-9.3024,325.37,3.73,70.27,6,-7.6669,1.6355000000000004,1,49,22
TRZ00371,Cc1ccc(C)c(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,"N,O,O",-9.3161,309.37,3.94,61.04,5,-7.6792,1.6369000000000007,1,49,23
TRZ00296,Cc1nnc(-c2ccc(COc3cccc4ccccc34)o2)nc1C,"N,O,O",-9.3511,331.38,4.48,61.04,5,-7.715,1.6361000000000008,1,49,24
TRZ00259,Cc1nnc(-c2ccc(COc3ccc(C(C)(C)C)cc3)o2)nc1C,"N,O,O",-9.3333,337.42,4.62,61.04,5,-7.6971,1.6361999999999997,1,49,25
TRZ00432,Cc1nnc(-c2ccc(COc3ccccc3)o2)nc1C,"N,O,O",-9.346,281.31,3.33,61.04,5,-7.6833,1.6627,1,49,26
TRZ00374,Cc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1C,"N,O,O",-9.2971,309.37,3.94,61.04,5,-7.6599,1.6372,1,49,27
TRZ01251,Cc1nnc(-c2ccc(COc3ccc(F)cc3)o2)nc1C,"N,O,O",-9.4208,299.31,3.47,61.04,5,-7.7861,1.6346999999999996,1,49,28
TRZ01544,Cc1nnc(-c2ccc(CSc3ccc(C(F)(F)F)cn3)o2)nc1C,"N,O,S",-9.4505,366.37,4.45,64.7,6,-7.8028,1.6476999999999995,1,44,29
TRZ02390,Cc1nnc(-c2sc(COc3ccc(C(C)(C)C)cc3)nc2C)nc1C,"N,S,O",-9.3471,368.51,4.8,60.79,6,-7.7399,1.6071999999999997,1,44,30
