Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Has_Hydrazine,Has_Acyl_Hydrazide,has_donor_pos1,has_donor_pos2,has_donor_pos3,Donor_pos,has_pos2_bridged,has_pos3_bridged,has_pos2_notbridged,has_pos3_notbridged,pos2_inring,pos2_notinring,pos3_inring,pos3_notinring,ring_status,total_rings,extra_donors,has_plain_phenyl,tridentate,max_similarity,HOMO_eV,LUMO_eV,Gap_eV,E_ligand_au
TRZ00686,Cc1nnc(-c2ccc3ccc4ccc(-c5nnc(C)c(C)n5)nc4c3n2)nc1C,394.44,3.72,103.12,0,8,2,5,2,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C8270>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.1019,-8.0163,1.0856000000000012,-79.646870351432
TRZ00727,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)o2)nc1C,282.31,2.22,90.48,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C8C10>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.3423,-7.932,1.4102999999999994,-58.685955688707
TRZ01194,Cc1nnc(-c2cccc(-c3nnc(C)c(C)n3)n2)nc1C,293.33,2.02,90.23,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19D4430>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.2416,-7.775,1.4665999999999997,-60.185077561787
TRZ01492,Cc1nnc(-c2sc(-c3nnc(C)c(C)n3)c(C)c2C)nc1C,326.43,3.3,77.34,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19DC0B0>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.27,-7.901,1.3689999999999998,-64.208921589138
TRZ02619,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)s2)nc1C,298.38,2.69,77.34,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19F8890>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.3582,-8.0734,1.2848000000000006,-57.864615184073
TRZ02802,Cc1nnc(-c2ccccc2Nc2ccccc2-c2nnc(C)c(C)n2)nc1C,383.46,4.37,89.37,1,7,4,4,2,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19FD620>,False,False,False,False,True,,,,,,,,,,,,,,,,-9.0569,-7.7284,1.328500000000001,-78.263132772552
TRZ00111,Cc1cc(C)cc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19B9BD0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.717391304347826,-9.2979,-7.6604,1.6375000000000002,-65.119424652169
TRZ00112,Cc1nnc(-c2ccc(COc3ccc4ccccc4c3)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19B9C40>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,4.0,2.0,False,True,1.0,-9.3766,-7.7146,1.662,-68.374890393696
TRZ00116,COc1ccccc1OCc1ccc(-c2nnc(C)c(C)n2)o1,311.34,3.34,70.27,0,6,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19B9E00>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,3.0,False,True,0.6666666666666666,-9.2733,-7.6373,1.636000000000001,-66.005572913078
TRZ00117,Cc1nnc(-c2ccc(COc3ccc([N+](=O)[O-])cc3)o2)nc1C,326.31,3.24,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19B9E70>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,4.0,False,True,1.0,-9.5426,-8.578,0.9646000000000008,-69.23984827025
TRZ00127,CCOc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1,325.37,3.73,70.27,0,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19BA260>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,3.0,False,True,0.717391304347826,-9.3341,-7.6711,1.6629999999999994,-69.177637373855
TRZ00259,Cc1nnc(-c2ccc(COc3ccc(C(C)(C)C)cc3)o2)nc1C,337.42,4.62,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19BDB60>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.673469387755102,-9.3065,-7.6699,1.6365999999999996,-71.443448505263
TRZ00296,Cc1nnc(-c2ccc(COc3cccc4ccccc34)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19BEB20>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,4.0,2.0,False,True,0.66,-9.3622,-7.6998,1.6623999999999999,-68.372679808705
TRZ00371,Cc1ccc(C)c(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C0510>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.6792452830188679,-9.3163,-7.6791,1.6372,-65.118860563264
TRZ00374,Cc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1C,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C0660>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7608695652173914,-9.3362,-7.6738,1.6623999999999999,-65.121165111245
TRZ00375,Cc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c([N+](=O)[O-])c1,340.34,3.54,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C06D0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,4.0,False,True,1.0,-9.3405,-8.441,0.8994999999999997,-72.406165528705
TRZ00376,Cc1nnc(-c2ccc(COc3ccc(Br)cc3)o2)nc1C,360.21,4.09,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C0740>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7021276595744681,-9.4483,-7.8121,1.6361999999999997,-62.358924436649
TRZ00432,Cc1nnc(-c2ccc(COc3ccccc3)o2)nc1C,281.31,3.33,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C1E00>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7727272727272727,-9.3325,-7.6966,1.6358999999999995,-58.777804515147
TRZ01251,Cc1nnc(-c2ccc(COc3ccc(F)cc3)o2)nc1C,299.31,3.47,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19D5BD0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7021276595744681,-9.4039,-7.7676,1.6363000000000003,-63.006782888709
TRZ01544,Cc1nnc(-c2ccc(CSc3ccc(C(F)(F)F)cn3)o2)nc1C,366.37,4.45,64.7,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19DD690>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,3.0,False,True,1.0,-9.4595,-7.8332,1.6263000000000005,-74.08158194228
TRZ02396,Cc1nc(-c2noc(-c3nnc(C)c(C)n3)n2)cs1,274.31,1.97,90.48,0,8,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19F2B20>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,5.0,False,True,1.0,-9.7897,-8.349,1.4406999999999996,-53.4595242268
TRZ00399,Cc1nnc(-c2sc(-c3cccs3)nc2C)nc1C,288.4,3.65,51.56,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C1070>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.3687,-8.0383,1.330400000000001,-52.127897208128
TRZ00628,Cc1nnc(-c2csc(-c3ncc(C(F)(F)F)cc3Cl)n2)nc1C,371.78,4.35,64.45,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19C6A40>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.5838,-8.6317,0.9520999999999997,-71.177034015312
TRZ01080,Cc1nnc(-c2csc(COc3cc(Cl)cc(Cl)c3)n2)nc1C,367.26,4.5,60.79,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19D19A0>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.4783,-7.8259,1.652400000000001,-66.3327929195
TRZ01527,Cc1nnc(-c2csc(-c3ccc(C(F)(F)F)cn3)n2)nc1C,337.33,3.69,64.45,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19DCF90>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,0.6470588235294118,-9.5271,-8.5148,1.0123000000000015,-67.123484948996
TRZ02000,Cc1nnc(-c2csc(COc3ccccc3Cl)n2)nc1C,332.82,3.84,60.79,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19E8430>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,0.64,-9.3516,-7.7767,1.5748999999999995,-62.28017849644
TRZ02390,Cc1nnc(-c2sc(COc3ccc(C(C)(C)C)cc3)nc2C)nc1C,368.51,4.8,60.79,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19F2880>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.4232,-7.8361,1.5870999999999995,-74.073768070951
TRZ02392,Cc1nnc(-c2csc(-c3cccs3)n2)nc1C,274.37,3.34,51.56,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F19F2960>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.3389,-7.8589,1.4800000000000004,-48.948948500922
TRZ05498,COc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(OC(F)(F)F)c1,377.33,3.52,82.91,0,7,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F1A37060>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,4.0,False,True,1.0,-9.5509,-8.0808,1.4701000000000004,-80.487632241978
TRZ05734,Cc1nnc(-c2cncc(-c3ccc(OC(F)F)[nH]c3=O)n2)nc1C,346.3,1.9,106.54,1,7,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001E9F1A3C200>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,4.0,False,True,1.0,-9.4924,-8.1338,1.3585999999999991,-73.371692080108
