Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Has_Hydrazine,Has_Acyl_Hydrazide,has_donor_pos1,has_donor_pos2,has_donor_pos3,Donor_pos,has_pos2_bridged,has_pos3_bridged,has_pos2_notbridged,has_pos3_notbridged,pos2_inring,pos2_notinring,pos3_inring,pos3_notinring,ring_status,total_rings,extra_donors,has_plain_phenyl,tridentate,max_similarity,HOMO_eV,LUMO_eV,Gap_eV,E_ligand_au
TRZ00686,Cc1nnc(-c2ccc3ccc4ccc(-c5nnc(C)c(C)n5)nc4c3n2)nc1C,394.44,3.72,103.12,0,8,2,5,2,<rdkit.Chem.rdchem.Mol object at 0x000002016A51A340>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.2583,-8.0617,1.1966,-79.648546303803
TRZ00727,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)o2)nc1C,282.31,2.22,90.48,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000002016A51ACE0>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.3726,-7.9422,1.4304000000000006,-58.687071477496
TRZ01194,Cc1nnc(-c2cccc(-c3nnc(C)c(C)n3)n2)nc1C,293.33,2.02,90.23,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000002016B1C6500>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.2416,-7.7749,1.4667000000000003,-60.185077570518
TRZ01492,Cc1nnc(-c2sc(-c3nnc(C)c(C)n3)c(C)c2C)nc1C,326.43,3.3,77.34,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000002016B1CE180>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.3146,-7.9197,1.3949000000000007,-64.210516914481
TRZ02619,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)s2)nc1C,298.38,2.69,77.34,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000002016B1EA960>,False,False,False,True,False,,,,,,,,,,,,,,,,-9.3582,-8.0734,1.2848000000000006,-57.864615164707
TRZ02802,Cc1nnc(-c2ccccc2Nc2ccccc2-c2nnc(C)c(C)n2)nc1C,383.46,4.37,89.37,1,7,4,4,2,<rdkit.Chem.rdchem.Mol object at 0x000002016B1EF6F0>,False,False,False,False,True,,,,,,,,,,,,,,,,-9.234,-7.7892,1.4447999999999999,-78.26218638754
TRZ00111,Cc1cc(C)cc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547CA0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.717391304347826,-9.3004,-7.6634,1.6369999999999996,-65.119396490566
TRZ00112,Cc1nnc(-c2ccc(COc3ccc4ccccc4c3)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547D10>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,4.0,2.0,False,True,1.0,-9.4114,-7.7488,1.6626000000000003,-68.37503270678
TRZ00116,COc1ccccc1OCc1ccc(-c2nnc(C)c(C)n2)o1,311.34,3.34,70.27,0,6,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547ED0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,3.0,False,True,0.6666666666666666,-9.2926,-7.6308,1.6618000000000004,-66.00365287629
TRZ00117,Cc1nnc(-c2ccc(COc3ccc([N+](=O)[O-])cc3)o2)nc1C,326.31,3.24,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547F40>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,4.0,False,True,1.0,-9.5551,-8.6091,0.9459999999999997,-69.239712263189
TRZ00127,CCOc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1,325.37,3.73,70.27,0,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5483C0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,3.0,False,True,0.717391304347826,-9.3028,-7.6673,1.6354999999999995,-69.175925473972
TRZ00259,Cc1nnc(-c2ccc(COc3ccc(C(C)(C)C)cc3)o2)nc1C,337.42,4.62,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A54BC30>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.673469387755102,-9.3351,-7.6994,1.6357000000000008,-71.444183835351
TRZ00296,Cc1nnc(-c2ccc(COc3cccc4ccccc34)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A540C80>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,4.0,2.0,False,True,0.66,-9.3913,-7.7536,1.6376999999999997,-68.375641307449
TRZ00371,Cc1ccc(C)c(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5425E0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.6792452830188679,-9.3178,-7.6808,1.6370000000000005,-65.118824330312
TRZ00374,Cc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1C,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A542730>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7608695652173914,-9.2997,-7.6629,1.6368,-65.118655858812
TRZ00375,Cc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c([N+](=O)[O-])c1,340.34,3.54,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5427A0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,4.0,False,True,1.0,-9.346,-8.4648,0.8811999999999998,-72.405703796208
