Triazine_ID,HOMO_eV,LUMO_eV,Gap_eV,E_ligand_au
TRZ00111,-9.3004,-7.6634,1.6369999999999996,-65.119396490566
TRZ00112,-9.4114,-7.7488,1.6626000000000003,-68.37503270678
TRZ00116,-9.2926,-7.6308,1.6618000000000004,-66.00365287629
TRZ00117,-9.5551,-8.6091,0.9459999999999997,-69.239712263189
TRZ00127,-9.3028,-7.6673,1.6354999999999995,-69.175925473972
TRZ00259,-9.3351,-7.6994,1.6357000000000008,-71.444183835351
TRZ00296,-9.3913,-7.7536,1.6376999999999997,-68.375641307449
TRZ00371,-9.3178,-7.6808,1.6370000000000005,-65.118824330312
TRZ00374,-9.2997,-7.6629,1.6368,-65.118655858812
TRZ00375,-9.346,-8.4648,0.8811999999999998,-72.405703796208
TRZ00376,-9.4501,-7.814,1.6361000000000008,-62.358930817147
TRZ00399,-9.3541,-8.0322,1.3219000000000012,-52.126730197709
TRZ00432,-9.3351,-7.6991,1.636000000000001,-58.777828366029
TRZ00628,-9.6074,-8.6759,0.9314999999999998,-71.177726480484
TRZ00686,-9.2583,-8.0617,1.1966,-79.648546303803
TRZ00727,-9.3726,-7.9422,1.4304000000000006,-58.687071477496
TRZ01080,-9.4783,-7.8258,1.6525000000000007,-66.332792936146
TRZ01194,-9.2416,-7.7749,1.4667000000000003,-60.185077570518
TRZ01251,-9.4336,-7.7976,1.6360000000000001,-63.009291266729
TRZ01492,-9.3146,-7.9197,1.3949000000000007,-64.210516914481
TRZ01527,-9.5683,-8.5406,1.0277000000000012,-67.12508648102
TRZ01544,-9.4408,-7.8166,1.6241999999999992,-74.0839773546
TRZ02000,-9.3748,-7.7197,1.655100000000001,-62.280702038106
TRZ02390,-9.3351,-7.7255,1.6096000000000004,-74.07347347251
TRZ02392,-9.3218,-7.8526,1.4691999999999998,-48.949532504717
TRZ02396,-9.8384,-8.3658,1.4726,-53.46130339577
TRZ02619,-9.3582,-8.0734,1.2848000000000006,-57.864615164707
TRZ02802,-9.234,-7.7892,1.4447999999999999,-78.26218638754
TRZ05498,-9.3996,-8.0054,1.3941999999999997,-80.485776074235
TRZ05734,-9.5771,-8.1878,1.3893000000000004,-73.371304003365
