Triazine_ID,SMILES,Source_Hydrazide_SMILES
TRZ00001,Cc1nnc(-c2ccncc2)nc1C,C1=CN=CC=C1C(=O)NN
TRZ00002,Cc1nnc(-c2ccccc2)nc1C,C1=CC=C(C=C1)C(=O)NN
TRZ00003,Cc1nnc(-c2ccc(N)cc2)nc1C,C1=CC(=CC=C1C(=O)NN)N
TRZ00004,Cc1nnc(-c2ccc(Br)cc2)nc1C,C1=CC(=CC=C1C(=O)NN)Br
TRZ00005,COc1ccc(-c2nnc(C)c(C)n2)cc1,COC1=CC=C(C=C1)C(=O)NN
TRZ00006,Cc1nnc(-c2ccccc2O)nc1C,C1=CC=C(C(=C1)C(=O)NN)O
TRZ00007,Cc1nnc(-c2ccc(O)cc2)nc1C,C1=CC(=CC=C1C(=O)NN)O
TRZ00008,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C,C1C(=O)N(C2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=C3)CC(=O)NN
TRZ00009,Cc1nnc(CP(=O)(c2ccccc2)c2ccccc2)nc1C,C1=CC=C(C=C1)P(=O)(CC(=O)NN)C2=CC=CC=C2
TRZ00010,COc1ccccc1-c1nnc(C)c(C)n1,COC1=CC=CC=C1C(=O)NN
TRZ00011,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C,C1=CC=C(C(=C1)C(=O)NN)[N+](=O)[O-]
TRZ00012,Cc1nnc(-c2cccc(-c3nnc(C)c(C)n3)c2)nc1C,C1=CC(=CC(=C1)C(=O)NN)C(=O)NN
TRZ00013,Cc1nnc(CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)nc1C,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)NN
TRZ00014,Cc1nnc(Cc2ccccc2)nc1C,C1=CC=C(C=C1)CC(=O)NN
TRZ00015,Cc1nnc(-c2cc3ccccc3cc2O)nc1C,C1=CC=C2C=C(C(=CC2=C1)C(=O)NN)O
TRZ00016,Cc1nnc(-c2ccc(N)cc2O)nc1C,C1=CC(=C(C=C1N)O)C(=O)NN
TRZ00017,Cc1nnc(-c2cccnc2)nc1C,C1=CC(=CN=C1)C(=O)NN
TRZ00018,Cc1nnc(-c2ccc([N+](=O)[O-])cc2)nc1C,C1=CC(=CC=C1C(=O)NN)[N+](=O)[O-]
TRZ00019,Cc1nnc(-c2ccc(S(N)(=O)=O)cc2)nc1C,C1=CC(=CC=C1C(=O)NN)S(=O)(=O)N
TRZ00020,Cc1nnc(-c2sc3ccccc3c2Cl)nc1C,C1=CC=C2C(=C1)C(=C(S2)C(=O)NN)Cl
TRZ00021,Cc1nnc(-c2sc3cccc(Cl)c3c2Cl)nc1C,C1=CC2=C(C(=C1)Cl)C(=C(S2)C(=O)NN)Cl
TRZ00022,Cc1nnc(-c2ccccc2Cl)nc1C,C1=CC=C(C(=C1)C(=O)NN)Cl
TRZ00023,Cc1nnc(-c2cccc([N+](=O)[O-])c2)nc1C,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NN
TRZ00024,Cc1nnc(-c2ccc(Cl)cc2)nc1C,C1=CC(=CC=C1C(=O)NN)Cl
TRZ00025,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C,C1=CC=C2C(=C1)C=C(N2)C(=O)NN
TRZ00026,Cc1nnc(-c2ccccc2N)nc1C,C1=CC=C(C(=C1)C(=O)NN)N
TRZ00027,Cc1nnc(-c2ccco2)nc1C,C1=COC(=C1)C(=O)NN
TRZ00028,Cc1nnc(Cc2c[nH]c3ccccc23)nc1C,C1=CC=C2C(=C1)C(=CN2)CC(=O)NN
